Experiment	bias spectroscopy	
Date	26.08.2016 14:33:05	
User		
X (m)	59.9268E-9	
Y (m)	127.448E-9	
Z (m)	-81.4676E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	15E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	Current [bwd] (A)	LIX 1 omega [bwd] (A)
-116.000E-3	-251.242E-12	7.19472E-12	-251.732E-12	7.07621E-12
-114.000E-3	-248.067E-12	7.29758E-12	-248.628E-12	7.35762E-12
-112.000E-3	-244.729E-12	7.54443E-12	-245.428E-12	7.57329E-12
-110.000E-3	-241.376E-12	7.83234E-12	-242.150E-12	7.80519E-12
-108.000E-3	-237.924E-12	8.08924E-12	-238.772E-12	8.13994E-12
-106.000E-3	-234.418E-12	8.54171E-12	-235.131E-12	8.55786E-12
-104.000E-3	-230.705E-12	8.90388E-12	-231.522E-12	8.91401E-12
-102.000E-3	-226.968E-12	9.40054E-12	-227.577E-12	9.42764E-12
-100.000E-3	-222.763E-12	9.85821E-12	-223.716E-12	9.91240E-12
-98.0000E-3	-218.518E-12	10.4435E-12	-219.232E-12	10.3834E-12
-96.0000E-3	-213.875E-12	10.8987E-12	-214.877E-12	10.9996E-12
-94.0000E-3	-209.125E-12	11.5897E-12	-209.990E-12	11.6154E-12
-92.0000E-3	-204.005E-12	12.3331E-12	-205.037E-12	12.3290E-12
-90.0000E-3	-198.680E-12	13.0996E-12	-199.341E-12	13.1449E-12
-88.0000E-3	-193.068E-12	13.9481E-12	-193.744E-12	14.0410E-12
-86.0000E-3	-187.066E-12	14.7727E-12	-187.342E-12	14.7698E-12
-84.0000E-3	-180.816E-12	15.4429E-12	-181.168E-12	15.5086E-12
-82.0000E-3	-174.200E-12	16.0174E-12	-174.301E-12	16.0189E-12
-80.0000E-3	-167.290E-12	16.6116E-12	-167.543E-12	16.6174E-12
-78.0000E-3	-160.118E-12	16.9081E-12	-160.363E-12	16.9290E-12
-76.0000E-3	-152.971E-12	17.1697E-12	-153.295E-12	17.1919E-12
-74.0000E-3	-145.625E-12	17.2955E-12	-145.967E-12	17.2794E-12
-72.0000E-3	-138.463E-12	17.1728E-12	-138.820E-12	17.2715E-12
-70.0000E-3	-131.215E-12	16.9406E-12	-131.599E-12	16.9060E-12
-68.0000E-3	-124.386E-12	16.4361E-12	-124.579E-12	16.4362E-12
-66.0000E-3	-117.585E-12	15.8379E-12	-117.859E-12	15.8305E-12
-64.0000E-3	-111.102E-12	15.1501E-12	-111.294E-12	15.2245E-12
-62.0000E-3	-104.765E-12	14.3523E-12	-105.035E-12	14.3871E-12
-60.0000E-3	-98.8528E-12	13.6140E-12	-99.0746E-12	13.6368E-12
-58.0000E-3	-93.0328E-12	12.9302E-12	-93.4950E-12	13.0675E-12
-56.0000E-3	-87.7042E-12	12.2349E-12	-88.0422E-12	12.3244E-12
-54.0000E-3	-82.6028E-12	11.6551E-12	-83.0153E-12	11.7421E-12
-52.0000E-3	-77.8379E-12	11.0781E-12	-78.1080E-12	11.1615E-12
-50.0000E-3	-73.2623E-12	10.5455E-12	-73.4989E-12	10.6197E-12
-48.0000E-3	-68.9382E-12	10.0681E-12	-69.1056E-12	10.0355E-12
-46.0000E-3	-64.7129E-12	9.60443E-12	-64.9201E-12	9.64743E-12
-44.0000E-3	-60.7774E-12	9.25158E-12	-60.8564E-12	9.27840E-12
-42.0000E-3	-56.8872E-12	8.83121E-12	-56.9821E-12	8.87817E-12
-40.0000E-3	-53.2629E-12	8.53104E-12	-53.2276E-12	8.56306E-12
-38.0000E-3	-49.6689E-12	8.13210E-12	-49.7133E-12	8.09294E-12
-36.0000E-3	-46.3605E-12	7.77614E-12	-46.3031E-12	7.80482E-12
-34.0000E-3	-43.0262E-12	7.55373E-12	-43.0222E-12	7.54970E-12
-32.0000E-3	-39.7814E-12	7.39193E-12	-39.8259E-12	7.38477E-12
-30.0000E-3	-36.6099E-12	7.26400E-12	-36.6788E-12	7.27552E-12
-28.0000E-3	-33.6020E-12	7.12971E-12	-33.6105E-12	7.23213E-12
